file_name;text;id
sunset_1;Photo of a circular building silhouetted against a vibrant sunset, with warm orange hues reflected in calm waters.;01
sunset_2;Photo of a modern bedroom interior with warm lighting, highlighting the wooden textures and minimalist furniture, bathed in soft sunset light.;02
sunset_3;Photo of an architectural complex featuring stepped terraces with greenery, highlighting the unique design and structural elements in black and white.;03
sunset_4;Photo of a circular building by the water at twilight, with a person seated on a curved bench, surrounded by tranquil reflections and soft lighting.;04
sunset_5;Photo of a curved building at dawn, reflected on still water with lily pads and soft lighting casting long shadows over the tranquil scene.;05
sunset_6;Photo of a futuristic skyscraper at sunset, with illuminated terraces and greenery, standing out against the city skyline.;06
sunset_7;Photo of a city skyline at sunset, with skyscrapers reflecting warm golden light and creating a striking contrast against the darkening sky.;07
sunset_8;Photo of a fisherman casting a net at sunset, with a towering modern building in the background, silhouetted against the golden sky.;08
sunset_9;Photo of a modern, boxy building reflecting golden light on a river at dusk, with dramatic cloudy skies overhead.;09
sunset_10;Photo of a modern illuminated building against a dramatic sunset sky, with urban lights casting a warm glow on the surrounding landscape.;10
sunset_11;Photo of a city skyline at sunset, with silhouetted buildings and the soft glow of the sun illuminating the structures and mountains in the distance.;11
sunset_12;Photo of a cluster of industrial-style buildings emerging from the mist, captured in black and white, surrounded by trees.;12
sunset_13;Photo of snow-covered industrial buildings beside a river at sunset, with soft light illuminating the mountains and mist rising from the rooftops.;13
sunset_14;Photo of a sunset framed by a modern bridge, with the sun positioned between the bridge supports and reflecting on the water below.;14
sunset_15;Photo of a dramatic architectural silhouette against a warm sunset sky, with birds flying overhead and the building's flowing curves catching the light.;15
sunset_16;Photo of a striking modern structure against a vibrant orange sunset, with birds flying across the sky and the sun dipping below the horizon.;16
sunset_17;Photo of a unique architectural bridge at sunset, with people walking along its edge, reflecting warm light on the sleek surface.;17
sunset_18;Photo of a silhouette of a tree with a bird perched on it, set against a vibrant sunset sky and dramatic clouds.;18
sunset_19;Photo of a snowy landscape with a modern architectural structure, set against the backdrop of a rising moon and dramatic mountain peaks.;19
sunset_20;Photo of a marina at sunset, with yachts and boats silhouetted against the glowing orange sky, reflecting on the calm water.;20
sunset_21;Photo of a sweeping, curved building complex at sunset, with the sun dipping below the horizon, casting warm hues across the landscape.;21
sunset_22;Photo of a group of people silhouetted inside a curved architectural structure, with the setting sun casting a vibrant pink hue over the scene.;22
sunset_23;Photo of a building silhouette against a vibrant red sunset, with the sun setting behind the structure and casting dramatic colors across the landscape.;23
sunset_24;Photo of a modern residential street at sunset, with palm trees casting long shadows and the warm light illuminating sleek, contemporary buildings.;24
sunset_25;Photo of a modern building with green roofs reflecting the soft light of a sunset, surrounded by water and a bird walking along the shoreline.;25
sunset_26;Photo of a minimalist interior with wooden walls and a skylight, casting soft light across the floor and a small collection of books.;26
sunset_27;Photo of horseback riders and a dog in a vast grassy field at sunset, with a modern building in the distance under a warm, pastel-colored sky.;27
sunset_28;Photo of modern circular pavilions with wooden frames and fabric covers, bathed in soft sunset light, with a person standing nearby and trees in the background.;28
sunset_29;Photo of modern skyscrapers with colorful reflections during the golden hour, set against a mountainous backdrop and a vibrant cityscape.;29
sunset_30;Photo of a unique architectural structure resembling a flower, silhouetted against a vibrant orange sunset with palm trees and cars in the foreground.;30
sunset_31;Photo of the full moon against a deep blue sky, with the silhouette of a unique architectural structure in the foreground.;31
sunset_32;;32
sunset_33;;33
sunset_34;;34
sunset_35;;35
sunset_36;;36
sunset_37;;37
sunset_38;;38
sunset_39;;39
sunset_40;;40
sunset_41;;41
sunset_42;;42
sunset_43;;43
sunset_44;;44
sunset_45;;45
sunset_46;;46
sunset_47;;47
sunset_48;;48
sunset_49;;49
sunset_50;;50
sunset_51;;51
sunset_52;;52
sunset_53;;53
sunset_54;;54
sunset_55;;55
sunset_56;;56
sunset_57;;57
sunset_58;Photo of a modern circular building overlooking the sea at sunset, with three people standing on the hill, and the sun reflecting on the water.;58
sunset_59;Photo of a modern round house by the water at dusk, with two people wading in the calm lake and soft purple hues in the sky.;59
sunset_60;Photo of a modern house with a curved roof, featuring large windows reflecting a vibrant sunset, casting soft colors inside the space.;60
sunset_61;Photo of a modern house with large windows, featuring a curved roof and a scenic view of the surrounding landscape, illuminated by soft sunset light.;61
